
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
40.62,22.04,18.59,11.02,7.32,11.02,7.32,0.00,1.92,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.68,21.95,18.74,10.97,7.38,10.97,7.38,0.00,2.08,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.54,22.02,18.52,11.01,7.28,11.01,7.28,0.00,2.02,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.65,21.96,18.69,10.98,7.36,10.98,7.36,0.00,2.02,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.49,22.03,18.46,11.01,7.29,11.01,7.29,0.00,1.94,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.69,22.05,18.64,11.02,7.36,11.02,7.36,0.00,2.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.73,22.08,18.65,11.04,7.34,11.04,7.34,0.00,2.00,0.00,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.58,22.01,18.57,11.01,7.32,11.01,7.32,0.00,1.98,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.50,21.93,18.57,10.96,7.31,10.96,7.31,0.00,1.98,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.53,21.94,18.58,10.97,7.33,10.97,7.33,0.00,1.98,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.55,21.98,18.57,10.99,7.31,10.99,7.31,0.00,2.01,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
