
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
0.05,0.03,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.06,0.04,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
0.10,0.07,0.03,0.03,0.00,0.03,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.05,0.03,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.05,0.02,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
0.06,0.04,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
0.13,0.02,0.10,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,
12.63,6.30,6.33,3.05,1.77,3.22,1.77,0.01,1.37,0.02,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
23.00,12.65,10.35,6.32,4.41,6.32,4.41,0.00,0.79,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.71,12.57,10.13,6.28,4.29,6.28,4.30,0.00,0.79,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.98,12.65,10.34,6.32,4.40,6.32,4.40,0.00,0.79,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.75,12.55,10.20,6.27,4.33,6.27,4.33,0.00,0.79,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.87,12.61,10.27,6.30,4.37,6.30,4.37,0.00,0.78,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.78,12.55,10.22,6.27,4.34,6.27,4.34,0.00,0.80,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.74,12.57,10.17,6.26,4.31,6.27,4.31,0.02,0.79,0.02,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.84,12.58,10.26,6.28,4.36,6.28,4.36,0.00,0.79,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.66,12.51,10.15,6.25,4.31,6.25,4.31,0.00,0.79,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.88,12.60,10.27,6.30,4.37,6.30,4.37,0.00,0.78,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.76,12.55,10.22,6.27,4.35,6.27,4.35,0.00,0.79,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.84,12.59,10.25,6.29,4.37,6.29,4.37,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.67,12.51,10.16,6.25,4.32,6.25,4.31,0.00,0.78,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.63,12.50,10.13,6.25,4.30,6.25,4.30,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.81,12.57,10.24,6.28,4.36,6.28,4.36,0.00,0.77,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.68,12.51,10.17,6.25,4.32,6.25,4.32,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.88,12.61,10.27,6.30,4.38,6.30,4.38,0.00,0.78,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.70,12.52,10.18,6.26,4.33,6.26,4.33,0.00,0.77,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.55,12.48,10.08,6.23,4.27,6.24,4.27,0.00,0.79,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.84,12.58,10.26,6.28,4.37,6.28,4.37,0.02,0.77,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.73,12.52,10.21,6.26,4.35,6.26,4.35,0.00,0.77,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.67,12.52,10.14,6.26,4.31,6.26,4.31,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.70,12.51,10.19,6.25,4.34,6.25,4.34,0.00,0.76,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.61,12.50,10.11,6.25,4.30,6.25,4.30,0.00,0.77,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.65,12.50,10.15,6.25,4.32,6.25,4.32,0.00,0.78,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.80,12.55,10.25,6.27,4.38,6.27,4.38,0.00,0.76,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.60,12.49,10.11,6.24,4.29,6.24,4.29,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.65,12.50,10.14,6.25,4.32,6.25,4.32,0.00,0.77,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.76,12.53,10.23,6.26,4.36,6.26,4.36,0.00,0.77,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.59,12.48,10.11,6.24,4.30,6.24,4.30,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.75,12.57,10.19,6.28,4.34,6.28,4.34,0.00,0.78,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.72,12.51,10.21,6.25,4.35,6.25,4.35,0.00,0.76,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.48,12.44,10.04,6.22,4.26,6.22,4.26,0.00,0.78,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.68,12.51,10.16,6.26,4.33,6.25,4.33,0.00,0.78,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.80,12.55,10.26,6.27,4.38,6.27,4.38,0.00,0.76,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.57,12.45,10.11,6.22,4.28,6.22,4.28,0.00,0.79,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.49,12.44,10.05,6.22,4.27,6.22,4.27,0.00,0.78,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.83,12.55,10.28,6.27,4.39,6.27,4.39,0.00,0.78,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.67,12.48,10.19,6.24,4.34,6.24,4.34,0.00,0.77,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.50,12.47,10.04,6.23,4.25,6.23,4.25,0.01,0.77,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.63,12.50,10.13,6.25,4.32,6.25,4.32,0.00,0.76,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.80,12.55,10.24,6.27,4.38,6.27,4.38,0.00,0.76,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.55,12.46,10.09,6.23,4.29,6.23,4.29,0.00,0.76,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.53,12.47,10.06,6.23,4.28,6.23,4.28,0.00,0.76,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.72,12.53,10.19,6.26,4.35,6.26,4.35,0.00,0.76,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
22.67,12.50,10.17,6.25,4.34,6.25,4.34,0.00,0.76,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
